,Method,Metric,Mean,Error
0,orig,bal_acc,0.5,0.0
1,orig,disp_imp,0.5,0.16222142113076254
2,orig,avg_odds_diff,0.0,0.0
3,orig,stat_par_diff,0.0,0.0
4,orig,eq_opp_diff,0.0,0.0
5,orig,theil_ind,1.1633050805307596,0.13437968819605298
6,orig,unpriv_fpr,0.0,0.0
7,orig,unpriv_fnr,1.0,0.0
8,orig,priv_fpr,0.0,0.0
9,orig,priv_fnr,1.0,0.0
10,transf,bal_acc,0.5,0.0
11,transf,disp_imp,0.5,0.16222142113076254
12,transf,avg_odds_diff,0.0,0.0
13,transf,stat_par_diff,0.0,0.0
14,transf,eq_opp_diff,0.0,0.0
15,transf,theil_ind,1.1633050805307596,0.13437968819605298
16,transf,unpriv_fpr,0.0,0.0
17,transf,unpriv_fnr,1.0,0.0
18,transf,priv_fpr,0.0,0.0
19,transf,priv_fnr,1.0,0.0
20,dir,bal_acc,0.5,0.0
21,dir,disp_imp,0.5,0.16222142113076254
22,dir,avg_odds_diff,0.0,0.0
23,dir,stat_par_diff,0.0,0.0
24,dir,eq_opp_diff,0.0,0.0
25,dir,theil_ind,1.1633050805307596,0.13437968819605298
26,dir,unpriv_fpr,0.0,0.0
27,dir,unpriv_fnr,1.0,0.0
28,dir,priv_fpr,0.0,0.0
29,dir,priv_fnr,1.0,0.0
30,rew,bal_acc,0.5,0.0
31,rew,disp_imp,0.5,0.16222142113076254
32,rew,avg_odds_diff,0.0,0.0
33,rew,stat_par_diff,0.0,0.0
34,rew,eq_opp_diff,0.0,0.0
35,rew,theil_ind,1.1633050805307596,0.13437968819605298
36,rew,unpriv_fpr,0.0,0.0
37,rew,unpriv_fnr,1.0,0.0
38,rew,priv_fpr,0.0,0.0
39,rew,priv_fnr,1.0,0.0
40,eg,bal_acc,0.5,0.0
41,eg,disp_imp,0.5,0.16222142113076254
42,eg,avg_odds_diff,0.0,0.0
43,eg,stat_par_diff,0.0,0.0
44,eg,eq_opp_diff,0.0,0.0
45,eg,theil_ind,1.1633050805307596,0.13437968819605298
46,eg,unpriv_fpr,0.0,0.0
47,eg,unpriv_fnr,1.0,0.0
48,eg,priv_fpr,0.0,0.0
49,eg,priv_fnr,1.0,0.0
